Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Høje Taastrup;20;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Slagelse;23;Fastholdt;1;Jordbrugsteknolog;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Solrød;20;Fastholdt;1;Bygningskonstruktør;Teknisk;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;København;22;Fastholdt;1;Event Management og Økonomi;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);01-02-2023;København;22;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2022 V
Zealand Sjællands Erhvervsakademi i Næstved;19-08-2024;Næstved;21;Fastholdt;1;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2021;Guldborgsund;29;Gennemført uddannelse;1;Datamatiker;IT & Ledelse;2021 S
Zealand Sjællands Erhvervsakademi i Næstved;03-02-2025;København;24;Ikke startet;0;Bygningskonstruktør;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;København;23;Frafald;0;Serviceøkonom;Merkantil;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;København;24;Frafald;0;Procesteknolog;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;København;24;Frafald;0;Administrationsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Nykøbing F;02-09-2024;Guldborgsund;21;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-09-2021;Næstved;42;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2021 S
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Frederikssund;48;Fastholdt;1;Jordbrugsteknolog;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;03-02-2025;Brøndby;29;Ikke startet;0;Bygningskonstruktør;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;Holbæk;21;Gennemført uddannelse;1;Datamatiker;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2023;Ringsted;22;Gennemført uddannelse;1;Finansøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2023;Ishøj;23;Gennemført uddannelse;1;IT-teknolog;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);01-02-2024;Ballerup;26;Frafald;0;Markedsføringsøkonom;Merkantil;2023 V
